   1,  51, 100,   0,      80
   2,  39,   0,   0,      40
   2,  51,   0,   0,      13
   1,  58, 100,   0,       0
   1,  39,  48,   0,     120
   2,  58,   0,   0,      13
   1,  54, 100,   0,      80
   2,  75,   0,   0,       0
   2,  78,   0,   0,       0
   2,  82,   0,   0,      27
   2,  39,   0,   0,      13
   2,  54,   0,   0,      13
   1,  82,  64,   0,       0
   1,  79,  48,   0,       0
   1,  65, 125,   0,       0
   1,  46,  48,   0,     120
   2,  82,   0,   0,      13
   1,  85,  64,   0,     107
   2,  46,   0,   0,      13
   2,  85,   0,   0,      13
   1,  89,  64,   0,       0
   1,  46,  75,   0,     120
   2,  89,   0,   0,      13
   1,  85,  64,   0,      80
   2,  79,   0,   0,      27
   2,  46,   0,   0,      13
   2,  85,   0,   0,      13
   1,  82,  64,   0,       0
   1,  77,  48,   0,       0
   1,  46,  48,   0,     120
   2,  82,   0,   0,      13
   1,  85,  64,   0,     107
   2,  46,   0,   0,      13
   2,  85,   0,   0,      13
   1,  89,  64,   0,       0
   1,  46,  75,   0,     120
   2,  89,   0,   0,      13
   1,  85,  64,   0,      80
   2,  77,   0,   0,      27
   2,  46,   0,   0,      13
   2,  85,   0,   0,      13
   1,  87,  64,   0,       0
   1,  77,  27,   0,       0
   1,  81,  27,   0,       0
   1,  85,  27,   0,       0
   1,  75,  27,   0,       0
